# team-kit's exposure manifest. Component-first placement: this file sits beside the tools it
# declares, so install2.py sees them (a directory at depth 2 holding exposure.csv IS the
# component). Moved out of the module-root ignite/exposure.csv on 2026-08-22, exactly as that
# file's own note anticipated — the `team-kit/` prefixes dropped with the move and nothing
# else changed. Columns are the seven of concepts/exposure-manifest.md, in its order.
part-id,part-kind,method,rbtv-cli,entry-point,description,write-roots
coordinate,tool,path,,coord.py,,
owed-answers,tool,path,,owed-answers.py,"List the owner asks and escalations that are still unanswered, across every goal. The channel master's standing prompt names this command as the ONLY way it derives that debt",
floor-lint,tool,path,,floor-lint.py,,
materialize-seats,tool,path,,materialize-seats.py,,
scaffold-seats,tool,path,,materialize-seats.py,"ALIAS of materialize-seats, kept because 24 files and a probe hardcode this name (owner ruling 2026-08-22). Retire it with the rename filed in redesign-plan/loose-ends.md",
worktree-flow,tool,path,,worktree-flow.py,,
save-coord,tool,path,,save-coord.py,,
budget,tool,path,,budget.py,,
tmux-overview,tool,path,,tmux-overview,,
overview-compact,tool,path,,overview-compact.py,,
provider-usage,tool,path,,provider-usage.py,,
statusline-usage,tool,path,,statusline-usage.py,,
