Seat/workflow,after,i/o,Modality
pres-kickoff,,"in: the goal seed (brief, audience role, optional materials, optional prior artifact, optional stakes) plus the runtime brand pack at the workspace office config root; out: planning/run-brief.md — first line RUN-BRIEF, then the brief, the audience role, the materials inventory, the brand-pack status (resolved, or guided setup when the pack is missing) and the stakes",interactive
pres-excavate,pres-kickoff,"in: planning/run-brief.md + the brand pack's voice + the inventoried materials (a prior artifact is content input only, never a restyling base); out: planning/interview-seed.md — first line INTERVIEW-SEED, then the specific audience, the excavated friction, stakes, claim, reader transformation and doubt, and the emitted research briefs (each first line RESEARCH-BRIEF) carrying the guard fields spine=yes|no and intel=yes|no",interactive
pres-intel,pres-excavate[intel=yes],"in: the audience-intel research briefs only — never the interview dump, the lock or any design artifact; out: planning/audience-intel.md — first line AUDIENCE-INTEL, then findings keyed to each brief's declared return keys",agentic
pres-spine,pres-excavate[spine=yes],"in: the decision-research briefs plus the prior stage's insight artifact, one brief-sized chunk at a time — never the whole materials corpus in one sitting; out: planning/decision-research.md — first line DECISION-RESEARCH, then the six-stage chain themes, options, segments, implications, insights, connections",agentic
pres-lock,"pres-spine|pres-excavate[spine=no],pres-intel|pres-excavate[intel=no]","in: planning/interview-seed.md + planning/decision-research.md and planning/audience-intel.md, whichever of the two ran; out: planning/narrative-lock.md — first line NARRATIVE-LOCK, the gated annotated spine at the narrative-lock capability's completeness floor, ai-anti-patterns applied to titles, points and notes, and no design language, slide numbers or HTML. This artifact IS gate 1",interactive
pres-fill,pres-lock,"in: planning/narrative-lock.md + the per-beat content-facts and competitive-context briefs, one brief per in-process probe under scratchpad/probes/<short-name>-<n>/; out: planning/fill-research.md — first line FILL-RESEARCH, then per-beat findings. Fill never regroups slides; a falsified must-have locked claim is a FAIL to the leader chair, never a rewrite of the lock",agentic
pres-vstrat,pres-lock,"in: planning/narrative-lock.md only; out: planning/visual-communication-plan.md — first line VISUAL-COMMUNICATION-PLAN, then the emphasis map, slide grouping and slide list, per-slide visual form, form specs, visual-research asks and design handoff constraints, carrying the guard field visual_refs=yes|no plus any visual-references briefs. Zero palette, type, motif or grid",agentic
pres-vizref,pres-vstrat[visual_refs=yes],"in: the visual-references briefs emitted with planning/visual-communication-plan.md, and the extraction capability each brief names; out: planning/visual-references.md — first line VISUAL-REFERENCES, one entry per extracted reference with its provenance, plus the reference-set writes the briefs point at",agentic
pres-direct,pres-vizref|pres-vstrat[visual_refs=no],"in: planning/narrative-lock.md (read-only) + planning/visual-communication-plan.md + the brand pack's palette and type + the HTML standards Presentation profile as constraints (consumed, never copied) + planning/visual-references.md when it ran; out: planning/art-direction-briefs.md — first line ART-DIRECTION-BRIEFS, then 2-3 distinct six-axis briefs (type pairing, palette within tokens, grid principle, signature motif, chart style, cover treatment). Imagery is optional, owner-gated and real-provenance only",agentic
pres-blueprint,pres-direct,"in: planning/visual-communication-plan.md (the slide list) + planning/art-direction-briefs.md; out: planning/blueprint.md — first line BLUEPRINT, then the picked direction id and the pointer to the plan it was picked against. This is gate 2, one combined gate; the picked brief becomes the visual contract and no deck is rendered here",interactive
pres-build,"pres-blueprint,pres-fill","in: planning/blueprint.md + planning/narrative-lock.md + planning/visual-communication-plan.md + the picked art-direction brief + planning/fill-research.md + the brand pack + the html-standards Presentation path + deck-production; out: planning/deck.html with its sibling assets folder and planning/deck.pdf — agent-authored HTML at 1280x720 with matching @page print settings, carrying the agent-note the library's production model requires. Rendered over a local HTTP server, never file://. A loop-back re-entry patches only the flagged slides and leaves every other slide byte-identical",agentic
pres-check,pres-build,"in: planning/deck.html + the brand-pack tokens + the library Presentation profile read at run time (never copied numbers) + the visual-check CLI; out: planning/style-check.json — the machine-readable violation list, an empty list being the pass. Asserts palette tokens, font set, sizing floors, banned CSS patterns, token literals, grid ceilings and cover/closing identity; asserts nothing about taste",deterministic
pres-inspect,pres-check,"in: rendered screenshots of the deck as the primary evidence (not the source) + the picked art-direction brief + planning/visual-communication-plan.md + the visual-flaw-checklist and ai-anti-patterns craft references; out: planning/punch-list.md — first line PUNCH-LIST, one item per flaw citing a flaw-checklist item or a brief clause. Throwaway captures live under planning/review-shots/ and are deleted after use unless attached as evidence",agentic
pres-final,pres-inspect,"in: the rendered deck reviewed headed + planning/style-check.json + a closed planning/punch-list.md; out: planning/acceptance.md — first line ACCEPTANCE, then accept or the bounce notes, and the guard field handover=yes|no. This is gate 3, the taste gate; the owner sees the floor-raised deck, never the raw first pass",interactive
pres-handover,pres-final[handover=yes],"in: the accepted planning/deck.html and planning/deck.pdf + planning/narrative-lock.md + planning/blueprint.md + the picked art-direction brief + the deck's assets folder; out: planning/handover/README.md — first line HANDOVER, then the package index over the deck, the rationale document and the asset library",agentic
