# chat-bridge exposure (append-only). Columns match concepts/exposure-manifest.md.
part-id,part-kind,method,rbtv-cli,entry-point,description,write-roots
reply-grammar,reference,path,,reply-grammar.js,"Parse an owner Slack reply into a canonical first-token outcome plus comments, or a verbatim §4.5 NACK (spec-owner-io §4). Pure; does not post.",
outbox,library,path,,outbox.js,"Durable Slack outbox (spec-owner-io §7 / C-17): pending-delivery until Slack ack; local query by state/kind/channel_id/goal_id/ask_id and get-by-id.",
owner-ask-sender,library,path,,ask-store.js,"Sends the record-owner-ask gateway intent (open | reap) for the owner-ask record, and READS the fleet-wide open-ask set back through the inspect asks target (a refusal answers null, never an empty list). Holds no store handle: the daemon stamps open_asks (spec-state-store §3; owner ruling 2026-08-24).",
ask-thread,library,path,,ask-thread.js,"Thread-per-ask posting and the ONE ask-release door (spec-owner-io §2.1/§2.4/§3): opens a new goal-channel thread per ask batch, stamps the ❓/💭 opening line with the thread id it minted, mints a record only for ❓, and releases an ask only on an authorized sender's parsed reply in that exact thread. No oldest-open and no `re:` fallback.",.rbtv/goals/<goal>/coordination/asks/
ask-door-wiring,library,path,,chat-bridge.js,"Wires ask-thread.js into production: builds the ask door, resolves the goal channel for postAsk (the bus ferry's ❓ leg), holds the persisted askThreads map (<channel>:<threadTs> -> goal/seat/askId), and routes an inbound message in an ask thread to release before every other leg.",.rbtv/runtime/ignite/
approval-thread,library,path,,approval-thread.js,"The §3 approval first message (GOAL NAME + IRREVERSIBLE as their own bold lead lines, bound commit_id, published tokens) and the §4.2 post-parse dispatch keyed on the ask's kind: approve is D12 only in a genuine approval thread; reject-and-close/pause/retry, retry with:, close; the [T3-R22] three-key pause; [C-16] failure post-back into the same thread. Effects are injected ports.",
pause-resume,library,path,,pause-resume.js,"The mechanical pause/resume door (spec-owner-io §4.2/§4.4/§4.5) and the resume-semantics table (spec-recovery §4 [C-14]): target resolution incl. bare verb in a goal channel, the verbatim mechanical NACK on zero/several matches, goal paused<->running, named-event re-arm of a counter-exhausted lane, refusals for blocked-on-human and gate-cap. Never releases an ask; holds no store handle.",
approval-pause-wiring,library,path,,chat-bridge.js,"Wires approval-thread.js and pause-resume.js into production: kind/commitId/paused on the persisted askThreads entries, the kind fork after release, the reap-suppressed later reads of a paused approval thread, and the mechanical door ahead of the master doors for top-level goal-channel and DM messages. The D12 materialize port is BUILT here from the gateway forwarder (start-execution.js) and an injected materialize is refused at construction; the remaining ports (closeGoal, pauseGoal, relaunchDraftVerify, endingStore, listSeats, listLiveGoals) are injected and unwired by main().",.rbtv/runtime/ignite/
system-digest,library,path,,system-digest.js,"The ONE changed-only SYSTEM digest (spec-owner-io §5 / T5-R13, C-12): the ten America/Sao_Paulo 2-hourly slots, the (ask ids + one_liners + condition signatures) snapshot compared against the last DELIVERED payload (persisted, restart-safe), the asks -> conditions -> links rendering, and the kind=digest post through the outbox. Reads open conditions via an injected alarm-registry port; emits nothing.",.rbtv/runtime/ignite/
status-line,library,path,,status-line.js,"The bot status line (spec-owner-io §6 / T4-R5, D-6-ruling): renders exactly `N waiting · oldest Xh · M blocked` from injected ask/blocked readers and writes the bot's Slack status text on the seven listed triggers only. Never posts a channel message; holds no outbox and no transport.",
execution-start-sender,library,path,,start-execution.js,"Sends the start-execution gateway intent (the 14th, owner ruling 2026-08-24 option (b)) carrying goal + approval thread + bound commit. Fills approval-thread.js's materialize port; holds no child process: the daemon-side executor runs the supervised Path-B birth and a refusal is posted back into the approval thread [C-16].",
glance-wiring,library,path,,glance.js,"Wires the system digest and the status line into production (spec-owner-io §5/§6): the 30-second slot driver started by index.js#main(), the open-ask reader over the gateway, the open-condition reader over observation/emitter.js's published read interface (reloaded per read, with a post that throws so the bridge can never emit), and the transport status port. An unreadable ask set skips the slot rather than posting an empty digest; no system channel is a loud refusal.",.rbtv/runtime/ignite/
bus-answer,library,path,,bus-answer.js,"The bus-answer leg: records an owner answer arriving over the bus against the open ask it closes (moved from engine/ by spec-component-map §2)",
chat-session-settings,reference,path,,chat-session-settings.json,"The chat bridge harness session settings (moved from config/)",
chat-senders-example,reference,path,,senders.example.yaml,"The seed the owner-executed install step copies to create the gateway sender allowlist (moved from config/)",
goal-channel-cli,tool,path,,goal-channel-cli.js,,
