id,type,name,source_path,tags,description
claude_projects,platform,Claude Projects,"robotville/system/ai_pro/platform_knowledge/claude_projects.md","claude,projects,interface","Guide users through Claude Projects interface"
chatgpt_projects,platform,ChatGPT Projects,"robotville/system/ai_pro/platform_knowledge/chatgpt_projects.md","chatgpt,projects,interface","Guide users through ChatGPT Projects interface"
claude,ai_model,Claude,"robotville/system/ai_pro/prompting/ai_models/claude.md","anthropic,text,code","Anthropic Claude model-specific prompting guidance"
gemini,ai_model,Gemini,"robotville/system/ai_pro/prompting/ai_models/gemini.md","google,multimodal","Google Gemini model-specific prompting guidance"
gpt_5,ai_model,GPT-5,"robotville/system/ai_pro/prompting/ai_models/gpt_5.md","openai,text,code","OpenAI GPT-5 model-specific prompting guidance"
gpt_5_images,ai_model,GPT-5 Images,"robotville/system/ai_pro/prompting/ai_models/gpt_5_images.md","openai,image","OpenAI GPT-5 image generation guidance"
figma_ai,ai_model,Figma AI,"robotville/system/ai_pro/prompting/ai_models/figma_ai.md","figma,design","Figma AI design assistance guidance"
lovable,ai_model,Lovable,"robotville/system/ai_pro/prompting/ai_models/lovable.md","lovable,app","Lovable app builder guidance"
manus,ai_model,Manus,"robotville/system/ai_pro/prompting/ai_models/manus.md","manus,agent","Manus agent model guidance"
nano_banana,ai_model,Nano Banana,"robotville/system/ai_pro/prompting/ai_models/nano_banana.md","nano,specialized","Nano Banana specialized model guidance"
notebook_lm,platform,Notebook LM,"workflows/prompting-assistance/data/platform_knowledge/notebook_lm.md","google,notebook,research,synthesis","Guide users through Notebook LM research workflow"
canva_visual_design,platform,Canva Visual Design,"workflows/prompting-assistance/data/platform_knowledge/canva_visual_design.md","canva,design,logo,brand,image","Guide AI agents through Canva image creation, brand assets, and logo design capabilities"
claude_cowork,platform,Claude Cowork,"workflows/prompting-assistance/data/platform_knowledge/claude_cowork.md","claude,cowork,agentic,desktop,files,automation,subagents,plugins,schedule","Guide users through Claude Cowork agentic file interface — setup, task design, automation, plugins, and safety"
claude_skills,platform,Claude Skills,"workflows/prompting-assistance/data/platform_knowledge/claude_skills.md","claude,skills,agents,yaml,frontmatter","Guide AI agents through Claude Agent Skills creation, structure, testing, and distribution"
cursor_rules,platform,Cursor Rules,"workflows/prompting-assistance/data/platform_knowledge/cursor_rules.md","cursor,rules,mdc,ide","Guide AI agents through Cursor rules creation, structure, and configuration"
claude_rules,platform,Claude Rules,"workflows/prompting-assistance/data/platform_knowledge/claude_rules.md","claude,rules,md,cli","Guide AI agents through Claude Code rules creation, structure, and configuration"
chain_of_thought,technique,Chain of Thought,"robotville/system/ai_pro/prompting/prompting_techniques/chain_of_thought.md","reasoning,scaffolds","Step-by-step reasoning for complex problems"
few_shot_learning,technique,Few-Shot Learning,"robotville/system/ai_pro/prompting/prompting_techniques/few_shot_learning.md","knowledge,examples","Learning from provided examples"
structured_outputs,technique,Structured Outputs,"robotville/system/ai_pro/prompting/prompting_techniques/structured_outputs.md","format,json,schema","Controlling output format and structure"
context_management,technique,Context Management,"robotville/system/ai_pro/prompting/prompting_techniques/context_management.md","context,rag,memory","Handling large contexts and retrieval"
task_decomposition,technique,Task Decomposition,"robotville/system/ai_pro/prompting/prompting_techniques/task_decomposition.md","decomposition,planning","Breaking complex tasks into steps"
system_prompting,technique,System Prompting,"robotville/system/ai_pro/prompting/prompting_techniques/system_prompting.md","system,identity,role","Effective system prompt design"
iterative_refinement,technique,Iterative Refinement,"robotville/system/ai_pro/prompting/prompting_techniques/iterative_refinement.md","iteration,feedback","Improving outputs through iteration"
safety_guardrails,technique,Safety Guardrails,"robotville/system/ai_pro/prompting/prompting_techniques/safety_guardrails.md","safety,guardrails","Preventing harmful outputs"
xml_tag_structure,technique,XML Tag Structure,"robotville/system/ai_pro/prompting/prompting_techniques/xml_tag_structure.md","xml,structure,format","Using XML tags for prompt structure"
metaprompting,technique,Metaprompting,"robotville/system/ai_pro/prompting/prompting_techniques/metaprompting.md","meta,advanced","Prompts that generate prompts"
multi_agent,technique,Multi-Agent,"robotville/system/ai_pro/prompting/prompting_techniques/multi_agent.md","multi,agent,orchestration","Coordinating multiple AI agents"
prompt_evaluation,technique,Prompt Evaluation,"robotville/system/ai_pro/prompting/prompting_techniques/prompt_evaluation.md","evaluation,testing","Testing and measuring prompt effectiveness"
prompting_anti_patterns,technique,Prompting Anti-Patterns,"robotville/system/ai_pro/prompting/prompting_techniques/prompting_anti_patterns.md","anti-pattern,avoid","Common mistakes to avoid in prompting"
