seat-id,executor,task,staffing-hints,description,goal-writes,cage-grants,rw-paths,on-fail-relaunch
mpre-classify,meeting-classifier,classify-meeting,,"Classify the meeting type, run one workspace-context sweep, load the matching type-data file",planning/meeting-class.md,read-root,,
mpre-discover,meeting-discoverer,discover-meeting,,"Guided discovery against the type-data skeleton; offer research on unknowns",planning/meeting-discovery.md,,,
mpre-generate,meeting-generator,generate-cheatsheet,,"Generate the print-ready cheat sheet from the type skeleton and discovery",planning/cheatsheet.md,,,
pres-kickoff,brief-taker,write-run-brief,,"Presentation kickoff: resolve the runtime brand pack or run guided setup, inventory the materials already in hand, and write the run brief",planning/run-brief.md,read-root,,
pres-excavate,story-excavator,excavate-narrative,,"Presentation sitting one of the narrative-lock capability: pin the audience, excavate friction to stakes to claim to transformation to doubt, and emit the decision-research and audience-intel briefs",planning/interview-seed.md,read-root,,
pres-intel,audience-researcher,research-audience,,"Presentation audience-intel executor: run the intel briefs and return findings keyed to their return keys — briefs only, no interview dump and no design context",planning/audience-intel.md,,,
pres-spine,decision-researcher,research-decision-spine,,"Presentation decision-research executor: walk themes, options, segments, implications, insights and connections as brief-sized chunks in one seat, never as a parallel corpus scrape",planning/decision-research.md,,,
pres-lock,narrative-strategist,lock-narrative,,"Presentation sitting two of the narrative-lock capability and GATE 1: agree the annotated spine with the owner and freeze it at the capability's completeness floor",planning/narrative-lock.md,,,
pres-fill,section-researcher,research-sections,,"Presentation fill research: one seat fanning per-beat content-facts and competitive-context probes in process; a falsified must-have claim FAILs to the leader instead of rewriting the lock",planning/fill-research.md,,,
pres-vstrat,visual-planner,plan-visual-communication,,"Presentation visual strategist stage: turn the locked narrative into the emphasis map, slide list, per-slide visual form and design handoff constraints — no palette, type, motif or grid",planning/visual-communication-plan.md,,,
pres-vizref,reference-extractor,extract-visual-references,,"Presentation visual-reference extraction: run the design extraction capabilities the briefs name and build the reference set with real provenance",planning/visual-references.md,read-root,,
pres-direct,art-director,write-art-direction,,"Presentation art direction: 2-3 distinct six-axis briefs within the brand-pack tokens and the Presentation profile constraints; the picked brief becomes the visual contract",planning/art-direction-briefs.md,read-root,,
pres-blueprint,blueprint-curator,pick-direction,,"Presentation GATE 2: present the slide list, the visual-communication plan and the art-direction options as one combined gate and record the owner's direction pick",planning/blueprint.md,,,
pres-build,deck-builder,build-deck,,"Presentation deck build: agent-authored HTML slice by slice against the Presentation profile, the brand pack and the picked brief, plus the PDF from the converter print path; loop-back re-entries patch surgically",planning/deck.html,read-root,,
pres-check,design/visual-check,check-deck-style,,"Presentation deterministic style check: the visual-check capability bound to its CLI, asserting source CSS, SVG and HTML against brand-pack tokens and the library Presentation profile. No owner contact",planning/style-check.json,read-root,,"pres-build,pres-check"
pres-inspect,deck-inspector,inspect-deck,,"Presentation render inspection: a fresh-context reviewer reading actual screenshots against the picked brief, the visual-flaw-checklist and the copy tells — always before GATE 3",planning/punch-list.md,,,"pres-build,pres-check,pres-inspect"
pres-final,acceptance-reviewer,accept-deck,"a harness profile declaring headed: — this seat has the owner look at the RENDERED deck, and a headless sitting cannot show it; a hint for the staffer, never a binding","Presentation GATE 3: the owner reviews the rendered deck headed and accepts or bounces with notes, and the handover offer is recorded either way",planning/acceptance.md,,,"pres-build,pres-check,pres-inspect,pres-final"
pres-handover,handover-packager,package-handover,,"Presentation handover package: assemble the accepted deck, the rationale document and the asset library into one offered-but-optional package",planning/handover/README.md,,,
