part-id,part-kind,method,rbtv-cli,entry-point,description,write-roots
rbtv-goal,tool,path,rbtv goal,goals-tree/tool/rbtv-goal,"The goal tree: create, inspect, scaffold and tear down a goal folder, with the walled-set refusals that keep a goal inside its own root",
rbtv-bindings,tool,path,,bindings/tool/rbtv-bindings,"Author the casting sheet that turns a workflow into a taskforce - the per-seat harness/model/effort file materialize-seats.py reads as --bindings",
rbtv-ignite-daemon,tool,path,rbtv ignite daemon,daemon-operator/tool/rbtv-ignite-daemon,"The owner-console daemon verb: status, start, stop and restart of the ignite unit",
rbtv-ignite-ticker,tool,path,rbtv ignite ticker,ticker-settings/tool/rbtv-ignite-ticker,"Read and change the ticker's cadence and settings without editing the boot-read config by hand",
rbtv-master-profile,tool,path,,master-profile/tool/rbtv-master-profile,"Read and change which harness+model - and at which effort rung - the channel master's next sitting runs on; takes effect on the next message, nothing is restarted",
rbtv-goal-request,tool,path,,goal-creation-request/tool/rbtv-goal-request,"The goal-creation request door: a seat asks for a goal, validation and the mint happen behind it",
rbtv-execution,tool,path,rbtv run,attached-execution/tool/rbtv-execution,"Run the engine ATTACHED to the calling terminal - the same code the daemon runs, ticking until completion or the first worker question",
attached-execution,library,path,,attached-execution.js,"The attached lane itself: seeding, the run board and the exit path that dies with its terminal and never writes a work outcome the daemon owns",
bindings,capability,sub-agent,,bindings/bindings.md,"Capability card for the casting-sheet surface",
daemon-operator,capability,sub-agent,,daemon-operator/daemon-operator.md,"Capability card for the daemon operator verb",
ticker-settings,capability,sub-agent,,ticker-settings/ticker-settings.md,"Capability card for the ticker settings surface",
master-profile,capability,sub-agent,,master-profile/master-profile.md,"Capability card for the master profile surface",
goal-creation-request,capability,sub-agent,,goal-creation-request/goal-creation-request.md,"Capability card for the goal-creation request door",
attached-execution-card,capability,sub-agent,,attached-execution/attached-execution.md,"Capability card for the attached rbtv run verb",
