# planning's exposure manifest. Library parts — no agent-facing CLI (mint/birth call them).
part-id,part-kind,method,rbtv-cli,entry-point,description,write-roots
planning-lock,reference,path,,lock.py,"Exclusive flock over <goal>/planning/current/.materialize.lock — holder pid + planning-pass id; collision refuses",
supervised-materialize,reference,path,,wrapper.py,"Supervised materialize wrapper both planning-door paths call — uncast-in-sheet + five failure classes, no Slack",
planning-mint-argv,reference,path,,argv.py,"Path A argv builder — --package at the existing goal; never --milestone-id, never --nested",
planning-path-a,reference,path,,path_a.py,"Path A mint: uncast + wrapper + one materialize invocation",
planning-path-b,reference,path,,path_b.py,"Path B birth: validate then scaffold then mint; reclaim half-goal",
planning-door,reference,path,,door.js,"The pipeline-seat mirror (pipeline-seats.json + pipelineMinted). The per-tick mint door it carried was deleted 2026-08-28 — its role: planning admission key had no producer",
planning-failure-record,reference,path,,failure.py,"C-16 failure record writer + origin routing (approval-thread / gate-lane)",
planning-queue-request,reference,path,,queue-request.js,"The plan-console catalog constants and the pipeline-seat divergence alarm (planningManifestSeats), plus the re-export face of unbuilt-seats.js. No longer a daemon pass — the cadence mint was deleted 2026-08-28",
planning-unbuilt-seats,reference,path,,unbuilt-seats.js,"Unbuilt-seat repair and the goal-local lane (D5) - extracted from queue-request.js before the move and travelling with it",
approve-package,tool,path,,approve_package.py,"Writes <planning goal>/planning/approve-package.json — the package the start-execution intent reads on approve. Validates name + bound commit, refuses the daemon-stamped keys, atomic tmp+rename through the derived-tree guard (its target is the GOAL folder, never a repo path — no write-roots)",
plan-envelope,tool,path,,plan_envelope.py,"Writes <plan-artifacts>/envelope.json — the fill-ins Path-B copies at birth. Planning-stage producer of credentialNames (and optional namedRepos/projectFolder/extraPaths). Validates shape; does not resolve store values and does not land the born-goal file",
materialize-seats,tool,path,,materialize-seats.py,,
scaffold-seats,tool,path,,materialize-seats.py,"ALIAS of materialize-seats, kept because 24 files and a probe hardcode this name (owner ruling 2026-08-22). Retire it with the rename filed in redesign-plan/loose-ends.md",
