mode,harness,model,efforts,image,level,reasoning,coding,cost,use,quality-override,price-override
cli,opencode,grok-4.7,3,N,L1,6,6,6,route,N,Y
cli,claude,opus-5-5,5,N,L1,6,6,25,route,Y,N
cli,codex,gpt-6-sol,5,N,L1,4,4,10,route,N,N
cli,opencode,grok-4.6,3,N,L4,0,0,999,off,N,N
cli,claude,opus-5,5,N,L4,0,0,999,off,N,N
cli,opencode,glm-5.3,2,N,L2,4,4,4.4,route,Y,Y
cli,opencode,k3,3,N,L2,4,4,15,panel,N,N
cli,codex,gpt-6-luna,5,N,L3,3,3,0.5,route,N,N
cli,opencode,deepseek-v4-flash,4,N,L3,3,2,1.32,panel,N,N
cli,opencode,gemini-3.7-flash,4,N,L3,3,3,2,panel,N,N
cli,opencode,deepseek-v4-pro,4,N,L3,3,3,3.96,panel,N,N
cli,claude,sonnet-5,5,N,L3,3,3,10,route,Y,Y
cli,claude,sonnet-5,5,N,L2,3,3,10,route,N,N
cli,codex,gpt-5.6-terra,5,N,L2,3,3,12,route,Y,N
cli,codex,gpt-6-astra,5,N,SOTA,7,7,50,route,Y,N
cli,claude,fable-5,5,N,SOTA,7,7,50,route,N,Y
api,api,gemini-3.5-flash,0,N,L3,3,3,9,panel,N,N
api,api,gemini-3.1-flash-image,0,Y,L4,0,0,,route,N,N
cli,codex,gpt-5.5,4,N,L4,0,0,999,off,N,N
cli,codex,gpt-5.6-sol,5,N,L4,0,0,999,off,N,N
cli,codex,gpt-5.6-luna,5,N,L4,0,0,999,off,N,N
cli,opencode,k2.7,1,N,L4,0,0,999,off,N,N
cli,opencode,k2.7-highspeed,1,N,L4,0,0,999,off,N,N
cli,opencode,k3-256k,3,N,L4,0,0,999,off,N,N
cli,opencode,grok-4.6-fast,3,N,L4,0,0,999,off,N,N
cli,opencode,gemini-3.1-pro-preview,3,N,L4,0,0,999,off,N,N
cli,opencode,gemini-flash-latest,2,N,L4,0,0,999,off,N,N
