mode,harness,model,efforts,image,web,level,reasoning,coding,cost,use,quality-override,price-override
cli,opencode,grok-4.6,3,N,N,L1,6,6,6,route,N,N
cli,claude,opus-5,5,N,Y,L1,6,6,25,route,N,N
cli,opencode,glm-5.3,2,N,N,L2,4,4,4.4,route,N,N
cli,claude,sonnet-5,5,N,Y,L2,3,3,10,route,N,Y
cli,opencode,k3,3,N,N,L2,4,4,15,panel,N,N
cli,codex,gpt-5.6-sol,5,N,Y,L2,4,4,20,panel,N,N
cli,codex,gpt-5.6-luna,5,N,Y,L3,3,3,1.2,route,N,N
cli,opencode,deepseek-v4-flash,4,N,N,L3,3,2,1.32,route,N,N
cli,opencode,gemini-3.7-flash,4,N,N,L3,3,3,2,route,N,N
cli,opencode,deepseek-v4-pro,4,N,N,L3,3,3,3.96,route,N,N
cli,claude,sonnet-5,5,N,Y,L3,3,3,10,route,N,Y
cli,codex,gpt-5.6-terra,5,N,Y,L3,3,3,12,panel,N,N
cli,claude,fable-5,5,N,Y,SOTA,7,7,50,route,N,N
api,api,gemini-3.5-flash,0,N,Y,L3,3,3,9,route,N,N
cli,codex,gpt-5.5,4,N,Y,L4,0,0,999,off,N,N
cli,opencode,k2.7,1,N,N,L4,0,0,999,off,N,N
cli,opencode,k2.7-highspeed,1,N,N,L4,0,0,999,off,N,N
cli,opencode,k3-256k,3,N,N,L4,0,0,999,off,N,N
cli,opencode,grok-4.6-fast,3,N,N,L4,0,0,999,off,N,N
cli,opencode,gemini-3.1-pro-preview,3,N,N,L4,0,0,999,off,N,N
cli,opencode,gemini-flash-latest,2,N,N,L4,0,0,999,off,N,N
