# team-kit's exposure manifest. Component-first placement: this file sits beside the tools it
# declares, so install2.py sees them (a directory at depth 2 holding exposure.csv IS the
# component). Moved out of the module-root ignite/exposure.csv on 2026-08-22, exactly as that
# file's own note anticipated — the `coord/` prefixes dropped with the move and nothing
# else changed. Columns are the seven of concepts/exposure-manifest.md, in its order.
#
# The folder became `ignite/coord/` with the component-first move (spec-component-map §2).
# The `materialize-seats` / `scaffold-seats` rows LEFT for `planning/exposure.csv` with the
# file itself; the `team-kit` skill row ARRIVED from the retired module-root manifest.
part-id,part-kind,method,rbtv-cli,entry-point,description,write-roots
coordinate,tool,path,,coord.py,,
owed-answers,tool,path,,owed-answers.py,"List the owner asks and escalations that are still unanswered, across every goal. The channel master's standing prompt names this command as the ONLY way it derives that debt",
floor-lint,tool,path,,floor-lint.py,,
worktree-flow,tool,path,,worktree-flow.py,,
save-coord,tool,path,,save-coord.py,,
budget,tool,path,,budget.py,,
tmux-overview,tool,path,,tmux-overview,,
overview-compact,tool,path,,overview-compact.py,,
provider-usage,tool,path,,provider-usage.py,,
statusline-usage,tool,path,,statusline-usage.py,,
file-issue,tool,path,,file-issue.py,,!ws:.rbtv/goals/ignite-engine/register;!ws:3-resources/tools/rbtv/ignite/work-on-ignite/memory
file-system-issue,capability,skill,,skills/file-system-issue/SKILL.md,"File a system issue (defect, gap, change notice) under ignite/ or meta/ into the engine goal's register — file, don't fix",
team-kit,capability,skill,exhibit,skills/team-kit/SKILL.md,"Set up, run, or join a coordinated parallel multi-agent team in tmux: one pane per seat, typed append-only message log, roster with verified identities, staged launches, watcher/closer seats",
mirror-driver,tool,path,,mirror/driver/cli.py,,
nudge,tool,path,,nudge.py,,
