# ⚠ INTERIM — module-root placement, not the ruled `<module>/<component>/exposure.csv`. Authored
# by task 7.48's seat, 2026-07-28, populating the catalog task 7.43's dispatch lane reads
# (`decisions.md#d-catalog-bound-exposure-manifest`; CMP-10 § Standing sub-agent lane).
#
# WHY A NEW FILE HERE rather than adding a row to `ignite/exposure.csv`: that file is scoped to the
# `ignite` module (its own header says so, and it holds only an `ignite` capability). `source-mining`
# lives under the `orchestration` module — a different module, per the repo's module-first
# structure. `catalog.js` aggregates every manifest it finds via `findManifests` (both depths, every
# module), so a second per-module file is the SAME artifact KIND, not a second list-kind
# (`rbtv-reasoning` § Verify absence; grepped as `find … -name "exposure*.csv"` before writing this).
#
# WHY IT SITS AT THE MODULE ROOT rather than `orchestration/<component>/exposure.csv`: measured
# 2026-07-28 (re-verified live, matching 7.43's own measurement for `ignite`), NO component folders
# exist anywhere in this repo — `find 3-resources/tools/rbtv -name component.md` → 0. `catalog.js`
# scans depths 1 AND 2 from the repo root, so this module-root file (depth 1) is read today with no
# code change, and when the component-first layout materializes and this row moves one level down
# to `orchestration/<component>/exposure.csv` (depth 2), nothing needs editing there either.
#
# COLUMNS: the same six of `concepts/exposure-manifest.md` § file schema, in the same order —
# `part-id, part-kind, method, rbtv-cli, entry-point, description` — routed, not invented, and
# matching `ignite/exposure.csv`'s own choice so the two interim files read as one convention.
#
# ENTRY-POINT CHOICE for `source-mining`: its own primary file, `workflow.md` — not the thin
# `orchestration/commands/source-mining.md` loader. `workflow.md`'s frontmatter chains to
# `step-01-init.md` and its own body documents YOLO invocation directly ("Invocation:
# `/source-mining yolo`"), so it is self-sufficient as a sub-agent-dispatch entry point. This
# matches the ticker-settings precedent in `ignite/exposure.csv`: entry-point is the part's own
# doc, never a wrapper. The command-method exposure (already real:
# `orchestration/commands/source-mining.md` exists) is a DIFFERENT row this file does not add,
# because backfilling `command`/`skill` exposure coverage is out of this task's scope
# ("populate the catalog the sub-agent lane keys on") — see the multi-exposure note below for why
# adding it later costs nothing.
#
# MULTI-EXPOSURE (fork 2, `#1528`) — PROPOSED to the leader for PROVISIONAL ruling, not settled
# here: `source-mining` is already exposed as a `command`. `catalog.js`'s `loadCatalog` filters
# every row by `method === 'sub-agent'` BEFORE indexing by `part-id` (a flat array + `.find()`,
# never an object keyed by `part-id`), so a future `source-mining,workflow,command,,orchestration/
# commands/source-mining.md,` row in THIS SAME FILE would coexist with the `sub-agent` row below
# with zero collision and zero `catalog.js` change — multiple rows per part-id, one row per method,
# is the proposed mechanic. Costed against a multi-valued `method` cell (needs a `catalog.js`
# parsing change, touches 7.43's delivered code) and a dedicated marker column (needs a registry
# schema change, Phase-3/4-deferred, outside a worker seat's authority) in
# `seats/S21-748-catalog/design-notes.md` § 3.
#
# ─── 2026-08-10 EXTENSION: the mandatory first-party tool inventory (task 7.647) ───
#
# `decisions.md#d-tool-inventory-exposure-rows` (owner, 2026-08-09, + same-day FIRST-PARTY scope
# correction + `#d-tool-inventory-rbtv-cli-column` amendment, 2026-08-10) makes it MANDATORY that
# every module inventory its first-party CLI tools here: `part-kind=tool`, `method=path`,
# `description` EMPTY (tools self-document via `-h`), `rbtv-cli` carrying the invocation prefix
# IFF `core/capabilities/rbtv-cli/tool/lib/verbs.js` ROUTES routes to the tool. Checked against
# ROUTES on 2026-08-10: its prefixes are ignite*/goal/run/teambuild — NONE route to an
# orchestration tool, so every `rbtv-cli` cell below is empty.
#
# BOUNDARY — same mechanical rule as `ignite/exposure.csv`'s worked example: a first-party
# invocable with its own agent-facing command surface. That admits the three capability `tool/`
# wrappers (rows sit at the WRAPPER, per the one-tool-one-row rule), the unwrapped `acct` CLI,
# the router, the manual renderer, the mirror-driver CLI, the shared API runner, the dispatch
# scaffolder, and the three source-mining workflow scripts agents run by hand.
# It EXCLUDES, each for a stated reason and none by oversight:
#   · cli/teamview/teamview.py, cli/team-monitor/team_monitor.py, cli/ctx-monitor/ctx_monitor.py —
#     implementations the capability wrappers above exec (one tool, one row, at the wrapper);
#   · hooks/context-monitor.py — a hook payload the harness fires, no agent invokes it;
#   · models/mirror/mirror.py — RETIRED refusal + shared library primitive
#     (`d-hard-guard-retire-model-mirror`), not a command surface;
#   · capabilities/dispatch-resolve/ — a require()'d library (index.js/resolve.js), no tool/;
#   · probe/test runners (capabilities/*/probes/*, models/_api/tests/, hooks/tests/,
#     models/test_route.py, models/mirror/tests/) — not command surfaces.
# ENTRY POINTS ARE MODULE-RELATIVE, matching the pre-existing row (module-root placement; the
# prefixes drop when the CMP-5 component tree materializes, same as the ignite file).
part-id,part-kind,method,rbtv-cli,entry-point,description
source-mining,workflow,sub-agent,,workflows/source-mining/workflow.md,
rbtv-teamview,tool,path,,capabilities/teamview/tool/rbtv-teamview,
rbtv-team-monitor,tool,path,,capabilities/team-monitor/tool/rbtv-team-monitor,
rbtv-ctx-monitor,tool,path,,capabilities/team-monitor/tool/rbtv-ctx-monitor,
acct,tool,path,,cli/acct/acct.py,
route,tool,path,,models/route.py,
render-manuals,tool,path,,models/render-manuals.py,
mirror-driver,tool,path,,models/mirror/driver/cli.py,
api-runner,tool,path,,models/_api/run.py,
dispatch-scaffold,tool,path,,skills/orchestrating/scripts/scaffold.py,
source-mining-slice,tool,path,,workflows/source-mining/scripts/slice.py,
source-mining-detect-handback,tool,path,,workflows/source-mining/scripts/detect-handback.py,
source-mining-merge-answers,tool,path,,workflows/source-mining/scripts/merge-answers.py,
