seat-id,executor,task,staffing-hints,description,goal-writes,cage-grants,rw-paths,on-fail-relaunch
plan-researcher,researcher,research,,"Standard sub-agent fan-out definition: sourced web research (no manifest row — R12)",
plan-diagnoser,diagnoser,diagnose,,"Standard sub-agent fan-out definition: local/codebase diagnosis (no manifest row — R12)",
plan-dod-judge,dod-judge,judge-milestone,"claude-family harness (a profile declaring headed:) — this seat is human-interactive, and on the console lane a held seat with no headed: block throws rather than degrading; a hint for the staffer, never a binding","Judge pool: closing trial of a finished milestone against its done contract; consecutive-FAIL count derived from the verdict log, never stored; the bar is per-goal configuration",,read-root
plan-unblock-checker,unblock-checker,check-unblocked,,"Judge pool: on acceptance, queue passes for exactly the newly unblocked milestones (deterministic tool seat; the queue-request mechanism exists (W7) — interim in its OCCUPANT only, an agent seat until its CLI exists)",
plan-understander,understander,understand-goal,,"Understand stage: restate the goal, name constraints, inventory salvage and credentials/preferences",planning/facts-brief.md
plan-designer,designer,design-approach,,"Design stage: choose one approach and the full milestone list with per-milestone done-criteria",planning/design.md
plan-drafter,drafter,draft-plan,,"Draft stage: write the complete plan — every milestone detailed, execution seats/workflow, envelope + credential-name sections, interact flags, outputs, relaunch budget",planning/draft-plan.md
plan-reviewer,reviewer,review-plan,,"Review+finalize stage: emit findings once (blocking/non-blocking), fix only blocking in one revision pass, ship the approval package",planning/review-package.md
plan-verifier,verifier,verify-plan,,"Verify stage: check closed findings and the unbroken milestone list; compose the phone-sized approval digest — do not post",planning/approval-digest.md,,,"plan-reviewer,plan-verifier"
forg-intake,intake,scope-request,,"Forge: scope one component-part request into a ratified build spec — kind, mode, enumerated pieces with target paths, done clauses and exposure decisions — or escalate it to plan-console",forge-spec.md
forg-builder,builder,build-pieces,,"Forge: build every spec piece at its declared target path, apply the spec's registration acts, and lint every touched component to its pre-build baseline",forge-build.md,read-root,.rbtv/mirror,
forg-judge,dod-judge,judge-forge-build,,"Forge: closing trial of a finished forge build — every spec piece against its done clauses and the ratified user stories, over components whose lint finding set is unchanged",,,,"forg-builder,forg-judge"
forge-write-reference,writer,write-reference,,"Forge writer definition: author one reference file body to the one-subject law (no manifest row — fanned out as a sub-agent by forge-builder)",
forge-write-prompt,writer,write-prompt,,"Forge writer definition: author one prompt file body — card, kind-named sections, ethos carry (no manifest row — fanned out as a sub-agent by forge-builder)",
forge-write-task,writer,write-task,,"Forge writer definition: author one task file body — three-field card, three sections, no i/o (no manifest row — fanned out as a sub-agent by forge-builder)",
forge-write-seat,writer,write-seat,,"Forge writer definition: author one seat's declarations — catalog row, manifest row, the six checklist declarations (no manifest row — fanned out as a sub-agent by forge-builder)",
forge-write-capability,writer,write-capability,,"Forge writer definition: walk the capability existence ladder and author the in-place instruction file, or route a CLI core to create-cli (no manifest row — fanned out as a sub-agent by forge-builder)",
repl-understander,understander,gap-understand,,"D13 replan: combined understand of a gate failure — the verdict, what execution produced, the gap clause by clause, and the contained|cross-milestone boundary call",planning/replan/gap-brief.md
repl-drafter,drafter,patch-draft,,"D13 replan: patch the failed milestone's plan/seats to cover the gap — one milestone only, permission envelope unwidened; a cross-milestone gap escalates with analysis only",planning/replan/patch-plan.md
repl-verifier,verifier,verify-patch,,"D13 replan: the notify-only verify seat (owner ruling 2026-08-25) — checks the patch against the milestone's UNCHANGED done contract and the two patch walls, then notifies the owner; issues no verdict and routes no relaunch, so nothing it finds halts the replan",planning/replan/replan-notice.md,,,
