commit_hash,commit_message
44972d6,chore(release): bump to v6.0.4
deedf18,changelog: prepare v6.0.4 release
17fe438,"fix brainstorming so that it will not overwrite previous brainstormings, and it will also ask if you want to continue a previous one or start a new one when older brainstormings are found."
d036d34,fix(templates): replace @ path prefixes with {project-root} (#1769)
bc7c7f0,fix(core): remove zero-findings halt condition from edge case hunter (#1797)
43cfc01,feat(core): add edge case hunter review task (#1790)
1677d54,fix: correct docs domain to docs.bmad-method.org (#1777)
5ad35d6,docs(changelog): complete 6.0.3 release notes
2f484f1,feat(skills): add bmad-os-root-cause-analysis skill (#1741)
2d2f485,fix(installer): refuse install when ancestor dir has BMAD commands (#1735)
d94757a,Update README.md (#1772)
6bfc937,fix(installer): OpenCode integration: replace `name` frontmatter with `mode: all` and update directory names (#1764)
72a9325,docs: rebrand BMAD acronym to Build More Architect Dreams (#1765)
5ed436c,6.0.3
97a533e,fix(installer): remove double-escaping of quotes in CSV manifest pipeline (#1746)
b83ccc7,docs(changelog): add 6.0.3 release notes
d43663e,fix(workflows): remove ambiguous with-argument from help task chaining (#1740)
0d858cb,standardize all workflow descriptions to use proper quotes to not break command or skilll front matter
3ad6985,6.0.2
44eeaa8,feat(docs): add public roadmap and improve site navigation
1d49fe1,feat(templates): remove disable-model-invocation to enable workflow skill calls
476082f,refactor(workflows): standardize workflow descriptions for skill generation
8cf22a4,"open source tool skills updated, will move to separate plugin at a later time"
d48d40d,feat: migrate Codex installer from .codex/prompts to .agents/skills format (#1729)
675e753,refactor(skills): convert review-pr and audit-file-refs to bmad-os skills (#1732)
276fcb1,fix(workflows): correct broken step refs in create-architecture (#1734)
99c1fa9,feat: add LLM audit prompt for file reference conventions (#1720)
bea8989,feat: add CodeBuddy platform support (#1483)
eb6cf96,fix: correct step file path in check-implementation-readiness workflow (#1709)
eeb773c,fix: correct step file path in check-implementation-readiness workflow (#1716)
35dff6b,chore: ignore .junie/ IDE integration folder (#1719)
fb05848,fix: correct 3 broken file refs and enforce validator in CI (#1717)
e72b82e,fix(installer): add custom Rovo Dev installer with prompts.yml generation (#1701)
d0ecfc0,fix: standardize all relative step file refs to {project-root}/ paths (#1722)
a135622,fix: correct code fence imbalance in step-03-starter.md (#1724)
811d032,fix(config): remove Windsurf from recommended/preferred IDEs (#1727)
3dd37bc,Added language to go back and replace [Research overview and methodology will be appended here] (#1703)
5579816,fix: change default Codex install location from global to project (#1698)
1782e97,docs: elevate bmad-help as primary on-ramp across all documentation
9247146,docs: update workflow names and standardize table formatting
c8481c2,fix: clarify phase routing and catalog path in help task
1198c8b,hotfix: add npx cache workaround to Quick Start (#1685)
17a46a2,6.0.1
e5ee30b,docs: update start message for V6 stable release
aa573bd,chore: bump version to 6.0.0 stable release
3f688d5,docs: update CHANGELOG for v6.0.0 stable release
eb88384,docs: add BMad Builder link to index for extenders
469a2e2,docs: update README for V6 stable release and enhance installer next steps
454b19a,feat(prd): add missing steps 2b (vision) and 2c (executive summary) (#1675)
8115ad8,fix(cli): use semantic versioning for update check (#1671)
