part-id,part-kind,method,rbtv-cli,entry-point,description,write-roots
researcher,prompt,sub-agent,,prompts/researcher.md,,
diagnoser,prompt,sub-agent,,prompts/diagnoser.md,,
capability-cards,tool,path,,capabilities/capability-cards/tool/capability_cards.py,,
component-lint,tool,path,,capabilities/component-lint/tool/component_lint.py,,
stools,tool,path,,ws:3-resources/tools/stools/stools.py,,
workflow-authoring-checklist,reference,skill,,references/workflow-authoring-checklist.md,"The six declarations a produced seat must carry before it is registered: its ONE goal-writes output, every instrument in exposes:, the interactive mark, the seat-folder standard, no hardcoded owner values, and a completeness review of the definition of done",
create-cli,capability,skill,,capabilities/create-cli/create-cli.md,Build or UX-review a composable agent-facing CLI — the D9 toolsmith means for seated tools,
build,reference,skill,,references/build.md,"Use whenever the user says plan, build, or create for any scaffolding — rules, prompts, skills, workflows, agents, parts of rbtv, or the mirror. The one router: mandatory reads, the workflow-vs-guide route rule, the per-kind authoring table, and every meta/planning guide. NOT plan-document writing (that is rbtv-plan-doc).",
dod-judge,prompt,pool,,prompts/dod-judge.md,,
unblock-checker,prompt,pool,,prompts/unblock-checker.md,,
writer,prompt,sub-agent,,prompts/writer.md,,
sd-graph,tool,path,,ws:1-projects/build-ignite/system-definition/CLIs/sd-graph/scripts/graph.py,,
delta-anchors,tool,path,,capabilities/delta-anchors/tool/delta_anchors.py,,
plan,reference,skill,,references/plan.md,"Structure already-decided work as a console-orchestrated seat plan (no goal/daemon run): the plan-folder format — seats.md, read-first.md, self-contained seat bodies, owner checkpoints — a console session dispatches and verifies in-session",
