part-id,part-kind,method,rbtv-cli,entry-point,description,write-roots
supervisor-registry,library,path,,index.js,"Persisted supervised-sitting registry, the one liveness probe (kill+start-time), the four write moments, and the boot re-adopt pass that runs before any ending stamp",
supervisor-death-stamp,library,path,,death-stamp.js,"The ONE evidence-to-ending path: a done/incomplete checkout stands and is reaped, a death with no checkout is stamped failed with a mandatory reason class, and confirm-and-reap frees the process for every seat",
supervisor-registry-cli,tool,path,,cli.js,"JSON CLI over the registry and the death stamp for non-node callers: --op NAME [--registry PATH] [--db PATH] [--payload JSON|PATH|-]",
supervisor-doors,library,path,,doors.js,"The explicit door list [T4-R7]: every launch path is wrapped (supervisor spawn writes the registry row) or marked unsupervised, plus the E_GOAL_NOT_LIVE refusal that spawns, stamps and enqueues nothing",
supervisor-probe,library,path,,probe.js,"The one liveness answer for a (goal, seat) sitting - supervised/alive/unknown off the registry, replacing the tmux pane, the cgroup carrier and tick silence [T4-R8]; also a JSON main for team-kit's python",
supervisor-owed,library,path,,owed.js,"The ONE owed-work computer [T4-R7, C-15]: deriveOwed answers class A (non-terminal ending), class B (unread mail) and class R (graph-derived launchability [T1-R3]) from one call, and never enqueues",
supervisor-launch-door,library,path,,launch-door.js,"The wrapped spawn door's admit checks (hold, cage admit, lane reach, boot prompt, store disagree) and the ONE heartStore.enqueue on the owed path - the launches seeding and reconcile used to make independently",
supervisor-recovery-config,library,path,,recovery-config.js,"The ONE read api for the eight recovery numbers in {workspace}/.rbtv/config/ignite/recovery.json [spec-recovery 2.1]: strict schema validation (all keys required, integers only, extra keys refused, 0/negative refused), configuration-error with NO in-code fallback, plus copy-if-absent seeding from the packaged seed",
supervisor-recovery-defaults,reference,path,,recovery.defaults.json,"The packaged seed of the recovery config file - the spec table defaults, copied to the instance path iff absent and never overwritten by an upgrade",
supervisor-progress,library,path,,progress.js,"The per-kind progress-signal collectors [T4-R1, CF-2]: the closed table of what advances the ONE supervisor-owned last_progress_at (file-writing, chat-only, planning/orchestrator, judge) and what explicitly does not",
supervisor-kill-clock,library,path,,kill-clock.js,"The no-progress kill decision off last_progress_at alone, and the CLOSED list of three pause conditions [T1-R19, D-1-ruling]: a verified open ask, an open provider-backoff window, a disarmed incomplete lane until its named event",
supervisor-checkpoint,library,path,,checkpoint.js,"The operational checkpoint contract [D4, T1-R2, T4-R2]: the three-field progress note, the tab-separated side-effect journal written BEFORE each external act with a relaunch skip on the idempotency key, and the relaunch prompt (brief + note + the verbatim continue-instruction)",
supervisor-attempt-counters,library,path,,attempt-counters.js,"The attempt counter that replaced both byte-equality brakes [spec-recovery 5, T4-R3]: counts a same-reason retry per (driver, subject, reason class), refuses a volatile key, resets ONLY on the four named re-arm events, and REFUSES the designed hourly frozen repeat [C-5]",
supervisor-exhaustion,library,path,,exhaustion.js,"The exit at N [T1-R8, D-2-ruling]: stamps the lane disarmed incomplete through the ending api and writes ONE signature-grouped ask RECORD per failure signature (never per lane, never a Slack write), plus the resume act that consumes the disarmed flag",
supervisor-relaunch-budget,library,path,,relaunch-budget.js,"The recovery relaunch budget [T1-R6, C-11]: both caps off the ending row counters, ask-resume refused at the spend door, the one bounded D6 leader handoff payload [T4-R6] with the ask text the leader reads, the leader-instruction inbox and its drain, and the daemon act that executes each of the four leader instructions [CF-3, D6]",
supervisor-provider-classify,library,path,,provider-classify.js,"The ONE reader of the two owner-editable recognition lists [spec-recovery 3]: case-insensitive substring match, first list wins, both-hit and unrecognised both fall to CONFIGURATION (fail closed), plus the content fingerprint a list edit changes (a config-change re-arm)",
supervisor-provider-transient,reference,path,,provider-transient.json,"The versioned TRANSIENT recognition list - quota / rate-limit / provider-down class tokens and their common strings. Owner-editable data; an edit is a config-change named re-arm",
supervisor-provider-configuration,reference,path,,provider-configuration.json,"The versioned CONFIGURATION recognition list - model-not-found / bad slug / auth-rejected class tokens and their common strings. Owner-editable data; an edit is a config-change named re-arm",
supervisor-provider-lanes,library,path,,provider-lanes.js,"What each provider class does to a lane [spec-recovery 3, C-5, C-10]: transient never strikes and takes ONE recorded pass through the shared table's alternates then backs off on loader-supplied numbers with the kill clock paused; configuration is an ordinary failed + strike; a per-seat model override suppresses reroute; and the readable provider_backoff_until / provider_backoff_waiting / reroute_pending facts impl-alarms consumes",
supervisor-routing-table,library,path,,routing-table.js,"The daemon's read of the SHARED routing table models.csv - the same file cast route reads, so a reroute can never name a model cast cannot launch. Eligible alternates are mode=cli use=route rows minus the lane's own pin and anything already tried this attempt",
supervisor-models-table,reference,path,,models.csv,"The shared routing table [spec-recovery 3]: the owner-editable routing axes (level, scores, cost, web, image) for every launchable model. Two readers - cast route's verdict and the daemon's provider-lane reroute",
supervisor-reconcile,library,path,,reconcile.js,"The per-goal reconcile pass: the ledger classifier, the provider-lane reroute, the per-lane skip that unfreezes siblings, the fail-closed leader-chair resolution, and the relaunch-budget handoff to the leader plus the drain of its answer (moved from engine/ by spec-component-map §2)",
supervisor-lane-watch,library,path,,lane-watch.js,"The once-a-cadence walk over every daemon-assigned goal: lane reads, pause truth, seeding, the loud named skip of a daemon goal with no taskforce, and the observation facts the frozen driver consumes (moved from engine/)",
supervisor-seeding,library,path,,seeding.js,"Seeds a goal folder taskforce into the store and enqueues what is due, skipping whatever the goal execution record says is finished (moved from engine/)",
supervisor-execution-record,library,path,,execution-record.js,"The shared per-goal execution record: the session join both lanes publish to, and the owner-ask open set behind it (moved from engine/)",
supervisor-ending-reads,library,path,,ending-reads.js,"The ending-store READERS the recovery path uses: done set, owner-hold set and launchability, bound to the workspace store the goal folder resolves to (moved from engine/)",
supervisor-owed-from-endings,library,path,,owed-from-endings.js,"classifyEnding over ending+armed - the classifier the one owed-work computer reads (moved from engine/)",
supervisor-spawn,library,path,,spawn/spawn.js,"The spawn/fire path: launch-spec resolution per seat, the cage composition seam, carriers, tmux seats and the orphan rescan (moved from server/spawn/)",
supervisor-launch-profiles,library,path,,launch-profiles/index.js,"The shared launch-spec resolver every spawn goes through - catalog, host reads, preflight and the effort ladder interpreter (moved from launch-profiles/)",
supervisor-worker-session-settings,reference,path,,worker-session-settings.json,"The worker harness session settings the spawn path materializes into a caged seat folder (moved from config/)",
supervise-a-seat,capability,skill,,skills/supervise-a-seat/SKILL.md,"Act on a seat you are not sitting in — rule on its ended session (`instruct`), accept its finished work (`accept`), close or relaunch it, or route a FAIL back to its receiver. The leader-facing reference for the `supervise` door",
supervise,tool,path,,supervise.py,"The supervision CLI — the daemon's and a leader's remedial surface over a run: the launch composer, the readiness arithmetic and the acts that repair a seat. The other half of the `coordinate` entry point, split by audience (owner ruling 2026-08-25); seat-facing coordination stays there",
